d1, id2, amount, message
2016-11-02 09:49:29, 52575, 1120, 25.32, Spam 
2016-11-02 09:49:29, 47424, 5995, 19.45, Food for 🌽 😎 
2016-11-02 09:49:29, 76352, 64866, 14.99, Clothing 
2016-11-02 09:49:29, 20449, 1552, 13.48, LoveWins 
2016-11-02 09:49:29, 48676, 19395, 29.94, Jeffs still fat 
2016-11-02 09:49:29, 28505, 45177, 19.01, 🌞🍻🌲🏔🍆 
2016-11-02 09:49:29, 56157, 16725, 4.85, 5 
2016-11-02 09:49:29, 66543, 8306, 10.64, Boooooz 
2016-11-02 09:49:29, 25036, 24692, 20.42, Electric 
2016-11-02 09:49:29, 68290, 66022, 27.90, Getting rolled by the tide 
2016-11-02 09:49:29, 56275, 5637, 42.18, Glaciers are NEAT 
2016-11-02 09:49:29, 23286, 5448, 45.92, 💐🤘🏽 
2016-11-02 09:49:29, 70230, 59830, 19.33, Kale Salad 
2016-11-02 09:49:29, 42016, 9013, 19.19, 1️⃣♥️1️⃣➡️ 
2016-11-02 09:49:29, 50734, 2942, 29.20, 🍫🍫🍫 
2016-11-02 09:49:29, 39909, 3940, 31.20, 💩 
2016-11-02 09:49:29, 63967, 3197, 38.09, Diner 
2016-11-02 09:49:29, 8665, 5524, 15.45, condoms 
2016-11-02 09:49:29, 20762, 13233, 25.06, Titos 
2016-11-02 09:49:29, 6681, 49196, 19.75, Seafood and 🍷 
2016-11-02 09:49:29, 33114, 33106, 17.77, Wigglytuff 
2016-11-02 09:49:29, 34424, 2844, 20.76, 👍🏼 
2016-11-02 09:49:29, 35149, 24068, 11.62, Dumplings 
2016-11-02 09:49:29, 68884, 26032, 44.70, The good time last night ;) 
2016-11-02 09:49:29, 11102, 3827, 24.78, Open Champ 3rd 🏆💲 
2016-11-02 09:49:29, 36020, 3081, 17.78, For expenses on splitwise.com 
2016-11-02 09:49:29, 12506, 24675, 18.82, Gimme duh money already geez 
2016-11-02 09:49:29, 66750, 21442, 22.46, 🚖 
2016-11-02 09:49:29, 42252, 32471, 36.48, Tommy's 
2016-11-02 09:49:29, 31481, 47752, 23.37, Inviting me to party then making me pay for it 
2016-11-02 09:49:29, 11594, 37307, 35.86, Sugar momma fees 
2016-11-02 09:49:29, 51136, 6301, 19.15, The difference 
2016-11-02 09:49:29, 37017, 25704, 15.77, 🍳☕ 
2016-11-02 09:49:29, 12383, 28745, 13.14, For the small boo 2 
2016-11-02 09:49:29, 33956, 26402, 13.54, 💉 
2016-11-02 09:49:29, 18897, 49479, 11.47, 🌮 
2016-11-02 09:49:29, 13035, 1065, 28.20, Paq loss 😥😥 
2016-11-02 09:49:29, 70365, 30037, 30.54, Kal birthday 
2016-11-02 09:49:29, 40773, 8755, 20.41, 🍕 
2016-11-02 09:49:29, 16884, 26870, 15.93, I scream you scream we both scream for 🍦 
2016-11-02 09:49:29, 29298, 19054, 16.97, You told me to do this for the Sunkist 😢 
2016-11-02 09:49:29, 62440, 20971, 26.27, ASDRUBALLLLL 
2016-11-02 09:49:29, 20479, 6280, 11.28, Spooky spectre 
2016-11-02 09:49:29, 68081, 23982, 34.52, Lemonade and apple cider 
2016-11-02 09:49:29, 51848, 8336, 15.23, Happy hour 
2016-11-02 09:49:29, 11220, 56681, 44.29, 🍸🍸✌️🏈 
2016-11-02 09:49:29, 34861, 18825, 22.00, Milk & Hops🍻 
2016-11-02 09:49:29, 72631, 38163, 16.92, 🍺🍺 
2016-11-02 09:49:29, 20126, 734, 13.80, Clint and Jens gift 
2016-11-02 09:49:29, 58443, 7988, 46.54, 🐮 
2016-11-02 09:49:29, 71076, 32313, 17.80, Hotdog 
2016-11-02 09:49:29, 23, 1118, 8.90, Tha ca$h money baby! 💸💰💵 
2016-11-02 09:49:29, 3386, 34794, 1.02, Classy af 🍸 
2016-11-02 09:49:29, 59133, 12694, 19.07, Cleaning my 🕓. 🤕 
2016-11-02 09:49:29, 765, 28688, 28.60, for Pho goodness and gas in Buffalo 
2016-11-02 09:49:29, 31891, 2485, 18.76, Versace 
2016-11-02 09:49:29, 30476, 35451, 15.08, Return 
2016-11-02 09:49:29, 6888, 3882, 16.59, 🚕 
2016-11-02 09:49:29, 13980, 225, 25.40, Small proof 
2016-11-02 09:49:29, 71320, 33082, 22.48, Cinderella's 
2016-11-02 09:49:29, 64872, 18543, 30.13, 😎😍😂 
2016-11-02 09:49:29, 34180, 61438, 19.31, Billzzz 
2016-11-02 09:49:29, 31312, 8880, 28.93, I dunno 
2016-11-02 09:49:29, 40936, 4679, 17.95, 🚕 
2016-11-02 09:49:29, 54962, 26637, 24.99, Condom 
2016-11-02 09:49:29, 16399, 8325, 16.50, 😛 
2016-11-02 09:49:29, 28428, 4805, 1.54, 🐥 
2016-11-02 09:49:29, 58547, 69773, 14.55, 🚕🙈 
2016-11-02 09:49:29, 48474, 42795, 19.97, for WiFi 
2016-11-02 09:49:29, 46141, 13612, 19.47, 🍉🌽🍖🍔🍕🌯🌮 
2016-11-02 09:49:29, 32913, 6610, 21.81, Dresser 
2016-11-02 09:49:29, 24200, 1319, 20.16, Rent 
2016-11-02 09:49:29, 68371, 5104, 23.37, 🚖 
2016-11-02 09:49:29, 68533, 25174, 17.90, U31 
2016-11-02 09:49:29, 64969, 63204, 7.12, Fishies 
2016-11-02 09:49:29, 15736, 10650, 16.79, Drawing 
2016-11-02 09:49:29, 15202, 47048, 18.79, for best meal ever 
2016-11-02 09:49:29, 8918, 43245, 24.55, Cab 
2016-11-02 09:49:29, 39667, 61459, 25.58, 💡 
2016-11-02 09:49:29, 37869, 7669, 18.22, ☮ 
2016-11-02 09:49:29, 8041, 22024, 14.58, Cause f*ck you 
2016-11-02 09:49:29, 7695, 143, 37.88, Brekky 
2016-11-02 09:49:29, 40378, 7734, 20.60, Chicago river cruise 
2016-11-02 09:49:29, 66297, 20620, 19.00, 💪🏼 
2016-11-02 09:49:29, 35241, 41817, 19.41, Chicago steak house 🍴 
2016-11-02 09:49:29, 12584, 8104, 13.12, MAK 
2016-11-02 09:49:29, 41503, 9785, 5.89, Being friends 
2016-11-02 09:49:29, 18991, 2943, 42.27, 🍕🍷 
2016-11-02 09:49:29, 3996, 3867, 6.20, teaching Paul how to Mariocart 
2016-11-02 09:49:29, 59379, 12826, 12.54, Stuff 
2016-11-02 09:49:29, 32854, 11045, 27.03, 🚖 
2016-11-02 09:49:29, 1613, 17, 5.74, July 💻💸 
2016-11-02 09:49:29, 34384, 2842, 25.58, June bills 
2016-11-02 09:49:29, 75113, 8912, 12.99, I'll never tell!! 
2016-11-02 09:49:29, 45374, 48312, 27.76, 🍟 🍟 
